rank,lambda,gamma,alpha,train_avg,train_std,val_avg,val_std,test_avg
1,1.000,0.10,1.50,6.619960,0.328187,8.481989,0.965089,7.843369
2,1.000,0.10,3.00,6.626097,0.331859,8.488703,0.993096,7.865995
3,1.000,0.10,1.00,6.631564,0.322799,8.506295,1.015101,7.770870
4,2.000,0.10,3.00,6.393355,0.305594,8.525398,0.919168,7.811535
5,1.000,0.15,1.00,6.545208,0.318127,8.527267,1.059115,7.820650
6,1.000,0.15,1.50,6.529114,0.331316,8.528282,1.021312,7.911976
7,2.000,0.10,1.50,6.388434,0.302086,8.531625,0.881857,7.792997
8,2.000,0.05,1.50,6.531399,0.300783,8.532217,0.896562,7.788179
9,2.000,0.05,3.00,6.534145,0.302643,8.534325,0.918687,7.798310
10,1.000,0.10,2.00,6.620710,0.329628,8.535103,0.946017,7.843369
11,1.000,0.10,0.60,6.657230,0.327533,8.535799,1.016245,7.703113
12,1.000,0.05,3.00,6.724155,0.338606,8.539410,1.009253,7.708732
13,1.000,0.05,1.50,6.722522,0.336232,8.544921,0.991814,7.696613
14,2.000,0.15,1.50,6.255278,0.307360,8.545424,0.870669,7.943432
15,1.000,0.20,1.00,6.439807,0.325734,8.548067,1.044088,7.827959
16,1.000,0.05,1.00,6.726954,0.333621,8.553447,1.009918,7.696361
17,2.000,0.30,0.60,6.028174,0.326888,8.554139,0.977066,7.664917
18,1.000,0.05,0.60,6.741509,0.332317,8.554358,0.998421,7.702345
19,1.000,0.15,3.00,6.540403,0.334690,8.554609,1.048175,7.943179
20,2.000,0.10,1.00,6.402656,0.294218,8.556772,0.961177,7.732695
21,2.000,0.05,1.00,6.536416,0.294381,8.559429,0.917886,7.745462
22,2.000,0.15,1.00,6.275430,0.296879,8.559575,0.975555,7.810599
23,1.000,0.05,2.00,6.721558,0.337567,8.560718,0.990457,7.696613
24,1.000,0.15,0.60,6.587766,0.328223,8.561740,1.045820,7.706252
25,2.000,0.20,1.00,6.138679,0.309127,8.562010,1.012896,7.859397
26,2.000,0.20,0.60,6.220505,0.314827,8.562869,0.951394,7.644732
27,1.000,0.20,1.50,6.412009,0.338610,8.565901,0.994011,7.980003
28,2.000,0.20,1.50,6.107026,0.319822,8.567334,0.904862,8.010232
29,2.000,0.05,2.00,6.531140,0.301354,8.568247,0.882833,7.788179
30,1.000,0.20,0.60,6.497527,0.331231,8.568566,1.014638,7.648475
31,2.000,0.05,0.60,6.551154,0.297017,8.569028,0.924905,7.695702
32,1.000,0.10,0.30,6.715982,0.324053,8.571595,1.016450,7.750833
33,2.000,0.10,0.60,6.437991,0.295719,8.571765,0.936784,7.616000
34,2.000,0.15,0.60,6.334686,0.303984,8.572033,0.941863,7.631240
35,1.000,0.05,0.30,6.768743,0.329485,8.577986,1.003344,7.725642
36,2.000,0.05,0.30,6.585400,0.295638,8.581071,0.926538,7.716536
37,2.000,0.10,0.30,6.509537,0.292881,8.583361,0.920701,7.658688
38,2.000,0.30,0.30,6.256916,0.315027,8.590461,0.945063,7.806889
39,2.000,0.15,3.00,6.265047,0.312996,8.590595,0.914409,7.972653
40,2.000,0.10,2.00,6.387583,0.303213,8.591081,0.846952,7.792997
41,1.000,0.20,0.30,6.618639,0.322959,8.591345,1.000534,7.802380
42,1.000,0.15,0.30,6.679617,0.320204,8.596862,1.026973,7.779607
43,2.000,0.20,0.30,6.374841,0.310598,8.598418,0.928173,7.734552
44,2.000,0.15,0.30,6.446571,0.301010,8.601465,0.928431,7.696896
45,1.000,0.30,1.00,6.234801,0.313255,8.603375,1.051091,7.908576
46,2.000,0.30,1.00,5.901969,0.319824,8.606063,1.104491,7.982535
47,1.000,0.30,0.60,6.328669,0.324507,8.606421,1.027147,7.635651
48,5.000,0.15,1.50,6.094866,0.312326,8.613148,0.890611,7.828852
49,1.000,0.15,2.00,6.532085,0.331557,8.614736,0.995731,7.911976
50,5.000,0.10,1.50,6.266722,0.307929,8.620914,0.877168,7.751950
51,1.000,0.30,0.30,6.513943,0.307672,8.621253,1.004072,7.849028
52,5.000,0.10,3.00,6.272626,0.314459,8.634314,0.936822,7.777441
53,0.500,0.20,1.00,6.795895,0.328421,8.639585,1.003298,7.452402
54,5.000,0.20,1.50,5.928244,0.308158,8.642185,0.949974,8.023971
55,5.000,0.05,3.00,6.435865,0.312714,8.642385,0.949171,7.726115
56,0.500,0.30,1.00,6.657278,0.319058,8.642602,1.015647,7.310579
