Top 500 candidate near-equalities (sorted by mean abs residual):
sign_target_3 ~ -1.0000 * sign_target_4: mean_abs=0.0000, median_abs=0.0000, max_abs=0.0000, pct<= 0.1=1.000, pct<= 0.5=1.000
radius_target_1_2 ~ 0.5463 * absdiff_target_3_4: mean_abs=0.0000, median_abs=0.0000, max_abs=0.0000, pct<= 0.1=1.000, pct<= 0.5=1.000
sign_target_3 ~ 1.0 * sign_input_10: mean_abs=0.0120, median_abs=0.0000, max_abs=2.0000, pct<= 0.1=0.994, pct<= 0.5=0.994
sign_target_4 ~ 1.0 * sign_input_3: mean_abs=0.0120, median_abs=0.0000, max_abs=2.0000, pct<= 0.1=0.994, pct<= 0.5=0.994
sign_target_4 ~ 1.0 * sign_input_12: mean_abs=0.0120, median_abs=0.0000, max_abs=2.0000, pct<= 0.1=0.994, pct<= 0.5=0.994
sign_target_4 ~ 1.0 * sign_input_7: mean_abs=0.0160, median_abs=0.0000, max_abs=2.0000, pct<= 0.1=0.992, pct<= 0.5=0.992
sign_target_3 ~ 1.0 * sign_input_11: mean_abs=0.0200, median_abs=0.0000, max_abs=2.0000, pct<= 0.1=0.990, pct<= 0.5=0.990
sign_target_4 ~ 1.0 * sign_input_2: mean_abs=0.0200, median_abs=0.0000, max_abs=2.0000, pct<= 0.1=0.990, pct<= 0.5=0.990
sign_target_4 ~ 1.0 * sign_input_9: mean_abs=0.0200, median_abs=0.0000, max_abs=2.0000, pct<= 0.1=0.990, pct<= 0.5=0.990
sign_target_3 ~ -0.9880 * sign_input_3: mean_abs=0.0239, median_abs=0.0120, max_abs=1.9880, pct<= 0.1=0.994, pct<= 0.5=0.994
sign_target_3 ~ 0.9880 * sign_input_10: mean_abs=0.0239, median_abs=0.0120, max_abs=1.9880, pct<= 0.1=0.994, pct<= 0.5=0.994
sign_target_3 ~ -0.9880 * sign_input_12: mean_abs=0.0239, median_abs=0.0120, max_abs=1.9880, pct<= 0.1=0.994, pct<= 0.5=0.994
sign_target_4 ~ 0.9880 * sign_input_3: mean_abs=0.0239, median_abs=0.0120, max_abs=1.9880, pct<= 0.1=0.994, pct<= 0.5=0.994
sign_target_4 ~ -0.9880 * sign_input_10: mean_abs=0.0239, median_abs=0.0120, max_abs=1.9880, pct<= 0.1=0.994, pct<= 0.5=0.994
sign_target_4 ~ 0.9880 * sign_input_12: mean_abs=0.0239, median_abs=0.0120, max_abs=1.9880, pct<= 0.1=0.994, pct<= 0.5=0.994
sign_target_3 ~ -0.9840 * sign_input_7: mean_abs=0.0317, median_abs=0.0160, max_abs=1.9840, pct<= 0.1=0.992, pct<= 0.5=0.992
sign_target_4 ~ 0.9840 * sign_input_7: mean_abs=0.0317, median_abs=0.0160, max_abs=1.9840, pct<= 0.1=0.992, pct<= 0.5=0.992
sign_target_4 ~ 1.0 * sign_input_1: mean_abs=0.0320, median_abs=0.0000, max_abs=2.0000, pct<= 0.1=0.984, pct<= 0.5=0.984
sign_target_3 ~ -0.9800 * sign_input_9: mean_abs=0.0396, median_abs=0.0200, max_abs=1.9800, pct<= 0.1=0.990, pct<= 0.5=0.990
sign_target_3 ~ 0.9800 * sign_input_11: mean_abs=0.0396, median_abs=0.0200, max_abs=1.9800, pct<= 0.1=0.990, pct<= 0.5=0.990
sign_target_4 ~ 0.9800 * sign_input_9: mean_abs=0.0396, median_abs=0.0200, max_abs=1.9800, pct<= 0.1=0.990, pct<= 0.5=0.990
sign_target_4 ~ -0.9800 * sign_input_11: mean_abs=0.0396, median_abs=0.0200, max_abs=1.9800, pct<= 0.1=0.990, pct<= 0.5=0.990
sign_target_3 ~ -0.9800 * sign_input_2: mean_abs=0.0396, median_abs=0.0200, max_abs=1.9800, pct<= 0.1=0.990, pct<= 0.5=0.990
sign_target_4 ~ 0.9800 * sign_input_2: mean_abs=0.0396, median_abs=0.0200, max_abs=1.9800, pct<= 0.1=0.990, pct<= 0.5=0.990
sign_target_3 ~ 1.0 * sign_input_5: mean_abs=0.0400, median_abs=0.0000, max_abs=2.0000, pct<= 0.1=0.980, pct<= 0.5=0.980
sign_target_4 ~ 1.0 * sign_input_4: mean_abs=0.0400, median_abs=0.0000, max_abs=2.0000, pct<= 0.1=0.980, pct<= 0.5=0.980
sign_target_4 ~ 1.0 * sign_input_8: mean_abs=0.0400, median_abs=0.0000, max_abs=2.0000, pct<= 0.1=0.980, pct<= 0.5=0.980
sign_target_3 ~ -0.9680 * sign_input_1: mean_abs=0.0630, median_abs=0.0320, max_abs=1.9680, pct<= 0.1=0.984, pct<= 0.5=0.984
sign_target_4 ~ 0.9680 * sign_input_1: mean_abs=0.0630, median_abs=0.0320, max_abs=1.9680, pct<= 0.1=0.984, pct<= 0.5=0.984
radius_target_1_2 ~ 0.6264 * radius_target_3_4: mean_abs=2.0154, median_abs=1.7310, max_abs=6.0881, pct<= 0.1=0.768, pct<= 0.5=1.000
meanabs_all_target ~ 1.5382 * meanabs_all_input_excl6: mean_abs=0.6954, median_abs=0.5850, max_abs=2.9713, pct<= 0.1=0.852, pct<= 0.5=0.980
radius_target_1_2 ~ 0.7005 * absdiff_input_3_10: mean_abs=1.4321, median_abs=1.2352, max_abs=5.0316, pct<= 0.1=0.794, pct<= 0.5=0.986
meanabs_all_target ~ 1.6592 * meanabs_all_input: mean_abs=0.7096, median_abs=0.5739, max_abs=2.8853, pct<= 0.1=0.858, pct<= 0.5=0.974
sign_target_3 ~ -0.9600 * sign_input_4: mean_abs=0.0784, median_abs=0.0400, max_abs=1.9600, pct<= 0.1=0.980, pct<= 0.5=0.980
sign_target_3 ~ 0.9600 * sign_input_5: mean_abs=0.0784, median_abs=0.0400, max_abs=1.9600, pct<= 0.1=0.980, pct<= 0.5=0.980
sign_target_3 ~ -0.9600 * sign_input_8: mean_abs=0.0784, median_abs=0.0400, max_abs=1.9600, pct<= 0.1=0.980, pct<= 0.5=0.980
sign_target_4 ~ 0.9600 * sign_input_4: mean_abs=0.0784, median_abs=0.0400, max_abs=1.9600, pct<= 0.1=0.980, pct<= 0.5=0.980
sign_target_4 ~ -0.9600 * sign_input_5: mean_abs=0.0784, median_abs=0.0400, max_abs=1.9600, pct<= 0.1=0.980, pct<= 0.5=0.980
sign_target_4 ~ 0.9600 * sign_input_8: mean_abs=0.0784, median_abs=0.0400, max_abs=1.9600, pct<= 0.1=0.980, pct<= 0.5=0.980
radius_target_1_2 ~ 0.7712 * absdiff_input_7_10: mean_abs=1.3443, median_abs=1.1186, max_abs=4.7058, pct<= 0.1=0.770, pct<= 0.5=0.982
radius_target_1_2 ~ 0.9404 * radius_input_3_7: mean_abs=1.3784, median_abs=1.2003, max_abs=4.2723, pct<= 0.1=0.702, pct<= 0.5=0.984
radius_target_1_2 ~ 0.8899 * absdiff_input_9_10: mean_abs=1.4620, median_abs=1.2394, max_abs=4.6534, pct<= 0.1=0.704, pct<= 0.5=0.978
radius_target_1_2 ~ 0.8889 * absdiff_input_1_10: mean_abs=1.4181, median_abs=1.3093, max_abs=4.7870, pct<= 0.1=0.698, pct<= 0.5=0.978
radius_target_1_2 ~ 0.9017 * absdiff_input_2_10: mean_abs=1.4498, median_abs=1.1672, max_abs=4.7253, pct<= 0.1=0.694, pct<= 0.5=0.978
radius_target_1_2 ~ 0.8737 * absdiff_input_3_11: mean_abs=1.6038, median_abs=1.4334, max_abs=5.1190, pct<= 0.1=0.668, pct<= 0.5=0.986
radius_target_1_2 ~ 1.0845 * radius_input_7_10: mean_abs=1.3394, median_abs=1.1242, max_abs=4.6076, pct<= 0.1=0.692, pct<= 0.5=0.976
radius_target_1_2 ~ 0.9779 * radius_input_3_10: mean_abs=1.4838, median_abs=1.3213, max_abs=5.1392, pct<= 0.1=0.652, pct<= 0.5=0.980
radius_target_1_2 ~ 0.8305 * absdiff_input_8_10: mean_abs=1.5167, median_abs=1.3971, max_abs=4.6029, pct<= 0.1=0.694, pct<= 0.5=0.976
radius_target_1_2 ~ 1.0413 * radius_input_3_9: mean_abs=1.4666, median_abs=1.3254, max_abs=4.8294, pct<= 0.1=0.658, pct<= 0.5=0.984
radius_target_1_2 ~ 0.9869 * absdiff_input_7_11: mean_abs=1.4950, median_abs=1.3367, max_abs=4.8386, pct<= 0.1=0.674, pct<= 0.5=0.978
radius_target_1_2 ~ 1.0 * radius_input_3_10: mean_abs=1.5371, median_abs=1.4009, max_abs=4.7102, pct<= 0.1=0.642, pct<= 0.5=0.980
