Top 4808 candidate near-equalities (sorted by mean abs residual):
sign_target_3 ~ 1.0 * sign_input_10: mean_abs=0.0120, median_abs=0.0000, max_abs=2.0000, pct<= 0.1=0.994, pct<= 0.5=0.994
sign_target_4 ~ 1.0 * sign_input_3: mean_abs=0.0120, median_abs=0.0000, max_abs=2.0000, pct<= 0.1=0.994, pct<= 0.5=0.994
sign_target_4 ~ 1.0 * sign_input_12: mean_abs=0.0120, median_abs=0.0000, max_abs=2.0000, pct<= 0.1=0.994, pct<= 0.5=0.994
sign_target_4 ~ 1.0 * sign_input_7: mean_abs=0.0160, median_abs=0.0000, max_abs=2.0000, pct<= 0.1=0.992, pct<= 0.5=0.992
sign_target_3 ~ 1.0 * sign_input_11: mean_abs=0.0200, median_abs=0.0000, max_abs=2.0000, pct<= 0.1=0.990, pct<= 0.5=0.990
sign_target_4 ~ 1.0 * sign_input_2: mean_abs=0.0200, median_abs=0.0000, max_abs=2.0000, pct<= 0.1=0.990, pct<= 0.5=0.990
sign_target_4 ~ 1.0 * sign_input_9: mean_abs=0.0200, median_abs=0.0000, max_abs=2.0000, pct<= 0.1=0.990, pct<= 0.5=0.990
sign_target_3 ~ -0.9880 * sign_input_3: mean_abs=0.0239, median_abs=0.0120, max_abs=1.9880, pct<= 0.1=0.994, pct<= 0.5=0.994
sign_target_3 ~ 0.9880 * sign_input_10: mean_abs=0.0239, median_abs=0.0120, max_abs=1.9880, pct<= 0.1=0.994, pct<= 0.5=0.994
sign_target_3 ~ -0.9880 * sign_input_12: mean_abs=0.0239, median_abs=0.0120, max_abs=1.9880, pct<= 0.1=0.994, pct<= 0.5=0.994
sign_target_4 ~ 0.9880 * sign_input_3: mean_abs=0.0239, median_abs=0.0120, max_abs=1.9880, pct<= 0.1=0.994, pct<= 0.5=0.994
sign_target_4 ~ -0.9880 * sign_input_10: mean_abs=0.0239, median_abs=0.0120, max_abs=1.9880, pct<= 0.1=0.994, pct<= 0.5=0.994
sign_target_4 ~ 0.9880 * sign_input_12: mean_abs=0.0239, median_abs=0.0120, max_abs=1.9880, pct<= 0.1=0.994, pct<= 0.5=0.994
sign_target_3 ~ -0.9840 * sign_input_7: mean_abs=0.0317, median_abs=0.0160, max_abs=1.9840, pct<= 0.1=0.992, pct<= 0.5=0.992
sign_target_4 ~ 0.9840 * sign_input_7: mean_abs=0.0317, median_abs=0.0160, max_abs=1.9840, pct<= 0.1=0.992, pct<= 0.5=0.992
sign_target_4 ~ 1.0 * sign_input_1: mean_abs=0.0320, median_abs=0.0000, max_abs=2.0000, pct<= 0.1=0.984, pct<= 0.5=0.984
sign_target_3 ~ -0.9800 * sign_input_9: mean_abs=0.0396, median_abs=0.0200, max_abs=1.9800, pct<= 0.1=0.990, pct<= 0.5=0.990
sign_target_3 ~ 0.9800 * sign_input_11: mean_abs=0.0396, median_abs=0.0200, max_abs=1.9800, pct<= 0.1=0.990, pct<= 0.5=0.990
sign_target_4 ~ 0.9800 * sign_input_9: mean_abs=0.0396, median_abs=0.0200, max_abs=1.9800, pct<= 0.1=0.990, pct<= 0.5=0.990
sign_target_4 ~ -0.9800 * sign_input_11: mean_abs=0.0396, median_abs=0.0200, max_abs=1.9800, pct<= 0.1=0.990, pct<= 0.5=0.990
sign_target_3 ~ -0.9800 * sign_input_2: mean_abs=0.0396, median_abs=0.0200, max_abs=1.9800, pct<= 0.1=0.990, pct<= 0.5=0.990
sign_target_4 ~ 0.9800 * sign_input_2: mean_abs=0.0396, median_abs=0.0200, max_abs=1.9800, pct<= 0.1=0.990, pct<= 0.5=0.990
sign_target_3 ~ 1.0 * sign_input_5: mean_abs=0.0400, median_abs=0.0000, max_abs=2.0000, pct<= 0.1=0.980, pct<= 0.5=0.980
sign_target_4 ~ 1.0 * sign_input_4: mean_abs=0.0400, median_abs=0.0000, max_abs=2.0000, pct<= 0.1=0.980, pct<= 0.5=0.980
sign_target_4 ~ 1.0 * sign_input_8: mean_abs=0.0400, median_abs=0.0000, max_abs=2.0000, pct<= 0.1=0.980, pct<= 0.5=0.980
sign_target_3 ~ -0.9680 * sign_input_1: mean_abs=0.0630, median_abs=0.0320, max_abs=1.9680, pct<= 0.1=0.984, pct<= 0.5=0.984
sign_target_4 ~ 0.9680 * sign_input_1: mean_abs=0.0630, median_abs=0.0320, max_abs=1.9680, pct<= 0.1=0.984, pct<= 0.5=0.984
meanabs_all_target ~ 1.5382 * meanabs_all_input_excl6: mean_abs=0.6954, median_abs=0.5850, max_abs=2.9713, pct<= 0.1=0.852, pct<= 0.5=0.980
meanabs_all_target ~ 1.6592 * meanabs_all_input: mean_abs=0.7096, median_abs=0.5739, max_abs=2.8853, pct<= 0.1=0.858, pct<= 0.5=0.974
sign_target_3 ~ -0.9600 * sign_input_4: mean_abs=0.0784, median_abs=0.0400, max_abs=1.9600, pct<= 0.1=0.980, pct<= 0.5=0.980
sign_target_3 ~ 0.9600 * sign_input_5: mean_abs=0.0784, median_abs=0.0400, max_abs=1.9600, pct<= 0.1=0.980, pct<= 0.5=0.980
sign_target_3 ~ -0.9600 * sign_input_8: mean_abs=0.0784, median_abs=0.0400, max_abs=1.9600, pct<= 0.1=0.980, pct<= 0.5=0.980
sign_target_4 ~ 0.9600 * sign_input_4: mean_abs=0.0784, median_abs=0.0400, max_abs=1.9600, pct<= 0.1=0.980, pct<= 0.5=0.980
sign_target_4 ~ -0.9600 * sign_input_5: mean_abs=0.0784, median_abs=0.0400, max_abs=1.9600, pct<= 0.1=0.980, pct<= 0.5=0.980
sign_target_4 ~ 0.9600 * sign_input_8: mean_abs=0.0784, median_abs=0.0400, max_abs=1.9600, pct<= 0.1=0.980, pct<= 0.5=0.980
radius_target_1_2 ~ 0.9404 * radius_input_3_7: mean_abs=1.3784, median_abs=1.2003, max_abs=4.2723, pct<= 0.1=0.702, pct<= 0.5=0.984
radius_target_1_2 ~ 1.0845 * radius_input_7_10: mean_abs=1.3394, median_abs=1.1242, max_abs=4.6076, pct<= 0.1=0.692, pct<= 0.5=0.976
radius_target_1_2 ~ 0.9779 * radius_input_3_10: mean_abs=1.4838, median_abs=1.3213, max_abs=5.1392, pct<= 0.1=0.652, pct<= 0.5=0.980
radius_target_1_2 ~ 1.0413 * radius_input_3_9: mean_abs=1.4666, median_abs=1.3254, max_abs=4.8294, pct<= 0.1=0.658, pct<= 0.5=0.984
radius_target_1_2 ~ 1.0 * radius_input_3_10: mean_abs=1.5371, median_abs=1.4009, max_abs=4.7102, pct<= 0.1=0.642, pct<= 0.5=0.980
radius_target_1_2 ~ 1.0397 * radius_input_1_3: mean_abs=1.4622, median_abs=1.3224, max_abs=4.3995, pct<= 0.1=0.658, pct<= 0.5=0.972
radius_target_1_2 ~ 1.4059 * radius_input_1_2: mean_abs=1.3565, median_abs=1.1376, max_abs=4.6833, pct<= 0.1=0.692, pct<= 0.5=0.970
radius_target_1_2 ~ 1.0 * radius_input_3_9: mean_abs=1.5922, median_abs=1.4147, max_abs=5.5957, pct<= 0.1=0.622, pct<= 0.5=0.982
diff_target_3_4 ~ -1.4117 * diff_input_7_10: mean_abs=2.4610, median_abs=2.0475, max_abs=8.6140, pct<= 0.1=0.696, pct<= 0.5=0.976
radius_target_1_2 ~ 0.9921 * radius_input_3_8: mean_abs=1.5418, median_abs=1.4004, max_abs=4.9565, pct<= 0.1=0.644, pct<= 0.5=0.976
radius_target_1_2 ~ 1.0 * radius_input_3_8: mean_abs=1.5558, median_abs=1.3884, max_abs=4.8945, pct<= 0.1=0.640, pct<= 0.5=0.976
radius_target_1_2 ~ 1.4100 * radius_input_2_9: mean_abs=1.3466, median_abs=1.1903, max_abs=4.1691, pct<= 0.1=0.708, pct<= 0.5=0.960
radius_target_1_2 ~ 1.0 * radius_input_1_3: mean_abs=1.5858, median_abs=1.3732, max_abs=5.3930, pct<= 0.1=0.640, pct<= 0.5=0.978
radius_target_1_2 ~ 1.1842 * radius_input_2_7: mean_abs=1.4533, median_abs=1.2739, max_abs=5.0485, pct<= 0.1=0.644, pct<= 0.5=0.972
radius_target_1_2 ~ 1.0 * radius_input_3_7: mean_abs=1.7585, median_abs=1.5279, max_abs=5.9608, pct<= 0.1=0.610, pct<= 0.5=0.982
radius_target_1_2 ~ 1.2459 * radius_input_1_10: mean_abs=1.4498, median_abs=1.3850, max_abs=4.8582, pct<= 0.1=0.634, pct<= 0.5=0.978
radius_target_1_2 ~ 1.2349 * radius_input_4_7: mean_abs=1.4744, median_abs=1.3205, max_abs=4.8152, pct<= 0.1=0.656, pct<= 0.5=0.978
radius_target_1_2 ~ 1.1695 * radius_input_1_7: mean_abs=1.5072, median_abs=1.3744, max_abs=5.7039, pct<= 0.1=0.658, pct<= 0.5=0.976
radius_target_1_2 ~ 1.0492 * radius_input_2_3: mean_abs=1.5815, median_abs=1.4688, max_abs=4.5349, pct<= 0.1=0.614, pct<= 0.5=0.974
radius_target_1_2 ~ 1.1719 * radius_input_7_9: mean_abs=1.5013, median_abs=1.3283, max_abs=4.8332, pct<= 0.1=0.620, pct<= 0.5=0.976
radius_target_1_2 ~ 1.1668 * radius_input_8_10: mean_abs=1.4832, median_abs=1.3205, max_abs=5.1134, pct<= 0.1=0.634, pct<= 0.5=0.972
diff_target_3_4 ~ -1.2822 * diff_input_3_10: mean_abs=2.6337, median_abs=2.2618, max_abs=9.2111, pct<= 0.1=0.646, pct<= 0.5=0.974
radius_target_1_2 ~ 1.2481 * radius_input_9_10: mean_abs=1.5063, median_abs=1.2845, max_abs=4.6676, pct<= 0.1=0.648, pct<= 0.5=0.978
radius_target_1_2 ~ 1.2627 * radius_input_2_10: mean_abs=1.5022, median_abs=1.2827, max_abs=4.8477, pct<= 0.1=0.636, pct<= 0.5=0.972
radius_target_1_2 ~ 1.0 * radius_input_2_3: mean_abs=1.7490, median_abs=1.4750, max_abs=5.4492, pct<= 0.1=0.576, pct<= 0.5=0.978
radius_target_1_2 ~ 1.3849 * radius_input_1_9: mean_abs=1.5035, median_abs=1.3166, max_abs=5.4426, pct<= 0.1=0.638, pct<= 0.5=0.968
diff_target_3_4 ~ -1.6271 * diff_input_1_10: mean_abs=2.6084, median_abs=2.4018, max_abs=8.7642, pct<= 0.1=0.636, pct<= 0.5=0.968
radius_target_1_2 ~ 1.0834 * radius_input_3_4: mean_abs=1.6786, median_abs=1.5401, max_abs=5.0102, pct<= 0.1=0.596, pct<= 0.5=0.972
diff_target_3_4 ~ -1.6289 * diff_input_9_10: mean_abs=2.6782, median_abs=2.2717, max_abs=8.5180, pct<= 0.1=0.658, pct<= 0.5=0.962
radius_target_1_2 ~ 1.6777 * radius_input_2_11: mean_abs=1.5138, median_abs=1.3979, max_abs=5.2009, pct<= 0.1=0.634, pct<= 0.5=0.972
radius_target_1_2 ~ 1.2929 * radius_input_2_8: mean_abs=1.6399, median_abs=1.4023, max_abs=6.1301, pct<= 0.1=0.600, pct<= 0.5=0.966
diff_target_3_4 ~ -1.6505 * diff_input_2_10: mean_abs=2.6609, median_abs=2.1646, max_abs=8.6501, pct<= 0.1=0.654, pct<= 0.5=0.966
radius_target_1_2 ~ 1.3607 * radius_input_4_8: mean_abs=1.6317, median_abs=1.4619, max_abs=5.4616, pct<= 0.1=0.600, pct<= 0.5=0.962
radius_target_1_2 ~ 1.6371 * radius_input_1_11: mean_abs=1.5628, median_abs=1.3659, max_abs=5.3353, pct<= 0.1=0.620, pct<= 0.5=0.968
radius_target_1_2 ~ 1.2774 * radius_input_8_9: mean_abs=1.6554, median_abs=1.4219, max_abs=5.8695, pct<= 0.1=0.616, pct<= 0.5=0.970
radius_target_1_2 ~ 1.4912 * radius_input_1_4: mean_abs=1.5775, median_abs=1.3111, max_abs=5.3299, pct<= 0.1=0.630, pct<= 0.5=0.964
radius_target_1_2 ~ 1.0 * radius_input_7_10: mean_abs=1.9047, median_abs=1.7575, max_abs=5.5636, pct<= 0.1=0.538, pct<= 0.5=0.976
radius_target_1_2 ~ 1.5218 * radius_input_2_4: mean_abs=1.5277, median_abs=1.4030, max_abs=4.9379, pct<= 0.1=0.622, pct<= 0.5=0.960
radius_target_1_2 ~ 1.3123 * radius_input_7_11: mean_abs=1.6701, median_abs=1.5307, max_abs=5.4572, pct<= 0.1=0.588, pct<= 0.5=0.972
radius_target_1_2 ~ 1.1250 * radius_input_3_12: mean_abs=1.7696, median_abs=1.6041, max_abs=4.8358, pct<= 0.1=0.556, pct<= 0.5=0.972
radius_target_1_2 ~ 1.1350 * radius_input_3_11: mean_abs=1.7822, median_abs=1.5761, max_abs=5.1777, pct<= 0.1=0.556, pct<= 0.5=0.974
diff_target_3_4 ~ -1.8065 * diff_input_7_11: mean_abs=2.7398, median_abs=2.4468, max_abs=8.8572, pct<= 0.1=0.646, pct<= 0.5=0.970
